id_tweet,lang,tweet,size,task1,task2,IDEOLOGICAL_INEQUALITY,STEREOTYPING_DOMINANCE,OBJECTIFICATION,SEXUAL_VIOLENCE,MISOtGYNY_NON_SEXUALVIOLENCE,UNKNOWN,NONE
100001,es,ignora capullo problema youtuber denuncia acoso afecta gente izquierdas ejemplo video gamergate presenta normal acoso reciben fisher anita ey amenazas bomba,47,YES,REPORTED,0,1,2,0,0,0,0
100002,es,si comicsgate parece gamergate pues bien acoso si est haciendo sabotaje personajes gustan entonces gracias darme raz lloricas ofendidos,39,NO,-,0,0,0,0,0,0,1
100003,es,lee gamergate cambiado manera comunicamos internet fanboys halo est t xicos fanboys comunidades juegos tambi querido coger pauta man shrugging medium dark skin tone,39,NO,-,0,0,0,0,0,0,1
100004,es,retraso social bastante lamentable gamergate trump aqu espa pues,16,NO,-,0,0,0,0,0,0,1
100005,es,entonces as mercado mejor hacer cambiarlo seguir alimentando machismo consumidores lugar apoyar gente ctimas gamergate acerca ten an implica imperativo entonces entiendo buscaban,49,YES,JUDGEMENTAL,0,3,3,0,0,0,0
100006,es,aaah andrew dobson dedic echar mierda gamergate s puro estilo white knight deviantart ech encima,27,NO,-,0,0,0,0,0,0,1
100007,es,lado gamergate si mal recuerdo encaja perfil thq nordic lol,19,NO,-,0,0,0,0,0,0,1
100008,es,gringa sigue llorando gamergate coincidencia pronombres perfil,16,YES,DIRECT,0,2,1,0,0,0,0
100009,es,conoces decoracion estilo gamer adolescentes explicamos post red heart sigues inspiracionalcuadrado interiorismo homedecorideas madrid chamberi salamanca gamers gamergate gamergirl,26,NO,-,0,0,0,0,0,0,1
100010,es,ces asus rog rise of gamers evento lanzamiento amd amd amdredteam amdryzen intel nvidia nvidiaomniverse nvidiageforce nvidiastudio gamergirl gamers gamergate gamersunite gameroom stockmarket stocks stockstobuy stock,29,NO,-,0,0,0,0,0,0,1
100011,es,mierda siento vieja dec gamergate bardo xd,12,NO,-,0,0,0,0,0,0,1
100012,es,bannon tambi historia aqu hablan buen podcast ganadores gamergate,18,NO,-,0,0,0,0,0,0,1
100013,es,perd charada sicotica gamergate bueno gracias smiling face with smiling eyes perder sta,20,NO,-,0,0,0,0,0,0,1
